qasm_path,runtime,fidelity,matrix_product_state_max_bond_dimension,mps_lapack,opt_level,matrix_product_state_truncation_threshold,mps_sample_measure_algorithm
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,2.2136037349700928,0.999,256,0,2,1e-5,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.5623588562011719,0.586,256,1,2,1e-3,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.904172420501709,0.988,256,1,2,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,0.7616870403289795,0.592,16,1,1,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,5.59597635269165,0.998,64,1,1,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.0918097496032715,1.0,128,0,1,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.1055381298065186,0.61,16,1,1,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,2.8702707290649414,0.999,256,1,1,1e-5,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,1.9105546474456787,0.988,2048,1,2,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.343515396118164,1.0,1024,1,2,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,5.074053049087524,1.0,1024,1,1,1e-8,mps_apply_measure
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,3.2496635913848877,1.0,128,1,2,1e-6,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,5.305623292922974,1.0,256,0,2,1e-8,mps_probabilities
feniqs_optimizer/data/paper_data/realamprandom/realamprandom_ucx_16.qasm,4.093743801116943,1.0,256,1,2,1e-7,mps_apply_measure
